LAST UPDATE:,"Jul 24, 2026 13:54:53 PT",5,Blue - Reserve Roster and Not Eligible,Yellow - Inactive Roster and Not Eligible,,Orange - Two-way Players,,,,
League,Team,Official Summoner Name,Position,Legal Given Name,Legal Family Name,"End Date (Month, Day, Year)",Residency,Status,QuadCode,Team Contact
LCS TEAMS,,,,,,,,,,
LCS,Cloud9,Thanatos,Top,Seung-gyu,Park,"November 20, 2028",Non-Resident,Active,C9,Tiffany Truong <tiffany.truong@cloud9.gg>
LCS,Cloud9,Blaber,Jungle,Robert,Huang,"November 20, 2028",NA Resident,Active,,
LCS,Cloud9,APA,Mid,Eain ,Stearns,"November 21, 2028",NA Resident,Active,,
LCS,Cloud9,Loki,Mid,Sangmin ,Lee,"November 15, 2027",Non-Resident,Active,,
LCS,Cloud9,Zven,Bot,Jesper,Svenningsen,"November 20, 2028",NA Resident,Active,,
LCS,Cloud9,Tactical,Bot,Edward ,Ra,"November 20, 2028",NA Resident,Active,,
LCS,Cloud9,Vulcan,Support,Philippe,Laflamme,"November 15, 2027",NA Resident,Active,,
LCS,Cloud9,IWDominate,LCS Head Coach,Christian ,Rivera,Day After Worlds 2028,NA Resident,Active,,
LCS,Cloud9,Arrow,LCS Strategic Coach,DongHyeon ,Noh,Day After Worlds 2028,NA Resident,Active,,
,,,,,,,,,,
LCS,Dignitas,Photon,Top,Gyutae,Kyeong,"November 16, 2026",Non-Resident,Active,DIG,Jonathon McDaniel <jonathon@dignitas.gg>
LCS,Dignitas,Denathor,Top,Noah,Erikson,"November 15, 2027",NA Resident,Active ,,
LCS,Dignitas,eXyu,Jungle,Lawrence,Xu,"November 15, 2027",NA Resident,Active,,
LCS,Dignitas,Palafox,Mid,Cristian,Palafox,"November 15, 2027",NA Resident,Active,,
LCS,Dignitas,FBI,Bot,Ian ,Huang,"November 15, 2027",NA Resident ,Active,,
LCS,Dignitas,Ignar,Support,Dong Geun,Lee,"November 15, 2027",Non-Resident,Active,,
LCS,Dignitas,Swiffer,LCS Head Coach,Simon,Papamarkos,Day After Worlds 2027,Non-Resident,Active,,
LCS,Dignitas,Emi,LCS Strategic Coach,Emanuel,Ursachi,Day After Worlds 2026,Non-Resident,Active,,
,,,,,,,,,,
LCS,Disguised ,Srtty,Top,Jette,Joye,"November 16, 2026",NA Resident,Active,DSG,Chris Yong <chris@disguised.gg>
LCS,Disguised ,Kryra,Jungle,Christian,Rahaian,"November 16, 2026",NA Resident,Active,,
LCS,Disguised ,Callme,Mid,Jihun,Oh,"November 16, 2026",Non-Resident,Active,,
LCS,Disguised ,Sajed,Bot,Sajed,Ziade,"November 16, 2026",NA Resident,Active,,
LCS,Disguised ,Lyonz,Support,Pedro ,Peralta,"November 16, 2026",NA Resident,Active,,
LCS,Disguised ,ido,LCS Head Coach,Ian,McCormick ,Day After Worlds 2026,NA Resident,Active,,
,,,,,,,,,,
LCS,FlyQuest,Gakgos,Top,Ibrahim,Bulut,"November 15, 2027",Non-Resident,Active,FLY,Andrew Barton <andrew@flyquest.gg>
LCS,FlyQuest,Gryffinn,Jungle,Johnson,Le,"November 15, 2027",NA Resident,Active,,
LCS,FlyQuest,Quad,Mid,Soohyung,Song,"November 17, 2026",Non-Resident,Active,,
LCS,FlyQuest,Massu,Bot,Fahad,Abdulmalek,"November 17, 2026",NA Resident,Active,,
LCS,FlyQuest,Cryogen,Support,Michael,Luu,"November 20, 2028",NA Resident,Active,,
LCS,FlyQuest,Thinkcard,LCS Head Coach,Thomas ,Slotkin,Day After Worlds 2027,NA Resident,Active,,
LCS,FlyQuest,Apollo,LCS Strategic Coach,Apollo ,Price,Day After Worlds 2026,NA Resident,Active,,
,,,,,,,,,,
LCS,LYON,Dhokla,Top,Niship ,Doshi,"November 15, 2027",NA Resident,Active,LYON,Alex Hwang <alex@lyonllc.gg>
LCS,LYON,Inspired,Jungle,Kacper,Sloma,"November 15, 2027",NA Resident,Active,,
LCS,LYON,Saint,Mid,Sung In,Kang,"November 17, 2026",Non-Resident,Active,,
LCS,LYON,Berserker,Bot,Minchul ,Kim,"November 16, 2026",NA Resident,Active,,
