THIS SHEET WAS LAST UPDATED ON:,2026/8/5 12:43,,,,,,,,
League,Team,Official Summoner Name,Main Role,Legal First Name,Legal Family Name,"End Date (Month, Day, Year)",,Tri-code,Team Contact Information
LPL,Xi'an Team WE,Cube,TOP,YI,DAI,"November 16, 2027",,WE,smallorc@teamwe.com
LPL,Xi'an Team WE,About,ADC,HYUNG SUK,MOON,"November 16, 2027",,,
LPL,Xi'an Team WE,Karis,MID,HONGJO,KIM,"November 17, 2026",,,
LPL,Xi'an Team WE,Monki,JUG,MENGQI,WANG,"November 17, 2026",,,
LPL,Xi'an Team WE,Dorian,SUP,SIYUAN,CHEN,"November 21, 2028",,,
LPL,Xi'an Team WE,Erha,SUP,XUYE,SHI,"November 17, 2026",,,
,,,,,,,,,
LPL,WeiboGaming,Elk,ADC,JIA HAO,ZHAO,"November 17, 2026",,WBG,chenyu22@weijing.weibo.com
LPL,WeiboGaming,Xiaohu,MID,YUANHAO,LI,"November 17, 2026",,,
LPL,WeiboGaming,Zika,TOP,HuaYu,TANG,"November 17, 2026",,,
LPL,WeiboGaming,jiejie,JUG,LIJIE,ZHAO,"November 17, 2026",,,
,WeiboGaming,Hang,SUP,MINGHANG,FU,"November 16, 2027",,,
,,,,,,,,,
LPL,Ultra Prime,Liangchen,TOP,LIANGCHEN,ZHANG,"November 17, 2026",,UP,dab@ultprime.com
LPL,Ultra Prime,climber,JUG,HONGTAO,WU,"November 16, 2027",,,
LPL,Ultra Prime,Saber,MID,DAILIN,SONG,"November 16, 2027",,,
LPL,Ultra Prime,Xiaoxia,SUP,JINGYAO,XIA,"November 16, 2027",,,
LPL,Ultra Prime,Hena,ADC,JEUNGHWAN,PARK,"November 17, 2026",,,
,,,,,,,,,
LPL,THUNDER TALK GAMING,Keshi,TOP,QINGHUA,LI,"September 30, 2026",,TT,xiaochuyu@52tt.com
LPL,THUNDER TALK GAMING,Junhao,JUG,JUNHAO,LUO,"September 30, 2026",,,
LPL,THUNDER TALK GAMING,Ryan3,ADC,QIHONG,CHEN,"November 17, 2026",,,
LPL,THUNDER TALK GAMING,Feather,SUP,TIANCIFU,WANG,"November 16, 2027",,,
LPL,THUNDER TALK GAMING,Heru,MID,MINSEONG,KIM,"September 30, 2026",,,
LPL,THUNDER TALK GAMING,Ahn,ADC,SHANYE,AN,"July 1, 2026",,,
,,,,,,,,,
LPL,TOP ESPORTS,369,TOP,JIAHAO,BAI,"November 17, 2026",,TES,guo.h@topsports.com.cn
LPL,TOP ESPORTS,JackeyLove,ADC,WENBO,YU,"November 17, 2026",,,
LPL,TOP ESPORTS,fengyue,SUP,RUNLAI,WANG,"November 21, 2028",,,
LPL,TOP ESPORTS,Creme,MID,JIAN,LIN,"November 17, 2026",,,
LPL,TOP ESPORTS,Tian,JUG,TIANLIANG,GAO,"November 21, 2028",,,
LPL,TOP ESPORTS,ZUIAN,TOP,ZIHAO,CHENG,"November 16, 2027",,,
,,,,,,,,,
LPL,Oh My God,Juhan,JUG,JUHAN,LEE,"November 17, 2026",,OMG,26444250@qq.com
LPL,Oh My God,Hery,TOP,HEYONG,WANG,"November 17, 2026",,,
LPL,Oh My God,Moham,SUP,JAEHUN,JEONG,"November 18, 2025",,,
LPL,Oh My God,haichao,MID,CHAO,HAI,"November 17, 2026",,,
LPL,Oh My God,Starry,ADC,MING,LEI,"November 17, 2026",,,
LPL,Oh My God,re0,JUG,HANYANG,XU,"November 16, 2027",,,
,,,,,,,,,
LPL,Shenzhen NINJAS IN PYJAMAS,Zhuo,SUP,XUZHUO,WANG,"November 17, 2026",,NIP,vlan@nipg.com
LPL,Shenzhen NINJAS IN PYJAMAS,Guwon,JUG,KWANMO,GU,"November 17, 2026",,,
LPL,Shenzhen NINJAS IN PYJAMAS,Assum,ADC,WEI,ZOU,"November 17, 2026",,,
LPL,Shenzhen NINJAS IN PYJAMAS,Care,MID,JIE,YANG,"November 17, 2026",,,
LPL,Shenzhen NINJAS IN PYJAMAS,HOYA,TOP,YOON YONG,HO,"November 17, 2026",,,
,,,,,,,,,
LPL,Suzhou LNG Esports,MISSING,SUP,YUNFENG,LOU,"November 17, 2026",,LNG,wanlei@lngesports.com
LPL,Suzhou LNG Esports,1xn,ADC,SAUNAM,LI,"November 17, 2026",,,
LPL,Suzhou LNG Esports,sheer,TOP,WENJIE,XU,"November 16, 2027",,,
LPL,Suzhou LNG Esports,BuLLDoG,MID,TAEYOUNG,LEE,"November 16, 2027",,,
LPL,Suzhou LNG Esports,Croco,JUG,DONGBUM,KIM,"November 17, 2026",,,
,,,,,,,,,
LPL,LGD GAMING,Shaoye,ADC,GUOBIN,QIU,"November 17, 2026",,LGD,qinwei@lgdgaming.com
LPL,LGD GAMING,sasi,TOP,RUI,YAN,"November 16, 2027",,,
LPL,LGD GAMING,Ycx,SUP,WENHAO,ZHAO,"November 17, 2026",,,
LPL,LGD GAMING,Tangyuan,MID,YUHONG,LIN,"November 21, 2028",,,
LPL,LGD GAMING,Heng,JUG,CUIHENG,YANG,"November 17, 2026",,,
,,,,,,,,,
LPL,Beijing JDG Esports,JunJia,JUG,JUNJIA,YU,"November 17, 2026",,JDG,panfei@jdgaming.com
LPL,Beijing JDG Esports,Xiaoxu,TOP,XINGZU,XU,"November 17, 2026",,,
LPL,Beijing JDG Esports,HongQ,MID,MINGHUNG,TSAI,"November 17, 2026",,,
LPL,Beijing JDG Esports,Vampire,SUP,ZHECAN,ZHAO,"November 16, 2027",,,
LPL,Beijing JDG Esports,GALA,ADC,WEI,CHEN,"November 17, 2026",,,
,,,,,,,,,
LPL,Invictus Gaming,Photic,ADC,QISHEN,YING,"November 17, 2026",,IG,huyueqian@ig.show
LPL,Invictus Gaming,Meiko,SUP,YE,TIAN,"November 17, 2026",,,
LPL,Invictus Gaming,Rookie,MID,UIJIN,SONG,"November 16, 2027",,,
LPL,Invictus Gaming,Wei,JUG,YANGWEI,YAN,"November 17, 2026",,,
LPL,Invictus Gaming,Jwei,SUP,JUNWEI,SUN,"November 17, 2026",,,
LPL,Invictus Gaming,Renard,MID,XINGCHE,ZHANG,"November 17, 2026",,,
LPL,Invictus Gaming,Soboro,TOP,SUNGMIN,LIM,"November 16, 2027",,,
,,,,,,,,,
LPL,EDWARD GAMING,Xiaohao,JUG,HAO,PENG,"November 17, 2026",,EDG,jasper@edgteam.cn
LPL,EDWARD GAMING,Parukia,SUP,BINGYANG,WANG,"November 21, 2028",,,
LPL,EDWARD GAMING,Leave,ADC,HONGCHAO,HU,"November 16, 2027",,,
