id,nickname,msiAppearances,msiTitles,worldsAppearances,worldsTitles
bin,Bin,5,1,4,0
blaber,Blaber,2,0,5,0
brokenblade,BrokenBlade,5,0,5,0
canyon,Canyon,3,2,7,1
caps,Caps,7,1,8,0
chovy,Chovy,3,2,7,0
faker,Faker,9,2,11,7
gumayusi,Gumayusi,5,1,6,4
hans_sama,Hans Sama,4,0,6,0
jackeylove,JackeyLove,3,0,6,1
kanavi,Kanavi,2,2,4,0
keria,Keria,5,0,6,3
knight,knight,4,1,5,0
meiko,Meiko,2,1,8,1
mikyx,Mikyx,3,1,6,0
oner,Oner,5,0,5,3
showmaker,ShowMaker,1,0,6,1
vulcan,Vulcan,2,0,3,0
zeka,Zeka,1,1,3,1
zeus,Zeus,4,1,4,2
